name	run	timing
benchmark/ssb/benchmarks/sf10/q3.4-t1.benchmark	4	0.338478
benchmark/ssb/benchmarks/sf10/q3.4-t1.benchmark	5	0.341661
benchmark/ssb/benchmarks/sf10/q3.4-t4.benchmark	1	0.099041
benchmark/ssb/benchmarks/sf10/q3.4-t4.benchmark	2	0.099353
benchmark/ssb/benchmarks/sf10/q3.4-t4.benchmark	3	0.099359
benchmark/ssb/benchmarks/sf10/q3.4-t4.benchmark	4	0.098157
benchmark/ssb/benchmarks/sf10/q3.4-t4.benchmark	5	0.099316
benchmark/ssb/benchmarks/sf10/q3.4-t8.benchmark	1	0.064976
benchmark/ssb/benchmarks/sf10/q3.4-t8.benchmark	2	0.065138
benchmark/ssb/benchmarks/sf10/q3.4-t8.benchmark	3	0.065123
benchmark/ssb/benchmarks/sf10/q3.4-t8.benchmark	4	0.065768
benchmark/ssb/benchmarks/sf10/q3.4-t8.benchmark	5	0.064628
benchmark/ssb/benchmarks/sf10/q4.1-t1.benchmark	1	0.802546
benchmark/ssb/benchmarks/sf10/q4.1-t1.benchmark	2	0.804339
benchmark/ssb/benchmarks/sf10/q4.1-t1.benchmark	3	0.805682
benchmark/ssb/benchmarks/sf10/q4.1-t1.benchmark	4	0.821309
benchmark/ssb/benchmarks/sf10/q4.1-t1.benchmark	5	0.813135
benchmark/ssb/benchmarks/sf10/q4.1-t4.benchmark	1	0.234140
benchmark/ssb/benchmarks/sf10/q4.1-t4.benchmark	2	0.232150
benchmark/ssb/benchmarks/sf10/q4.1-t4.benchmark	3	0.235086
benchmark/ssb/benchmarks/sf10/q4.1-t4.benchmark	4	0.235070
benchmark/ssb/benchmarks/sf10/q4.1-t4.benchmark	5	0.235805
benchmark/ssb/benchmarks/sf10/q4.1-t8.benchmark	1	0.148881
benchmark/ssb/benchmarks/sf10/q4.1-t8.benchmark	2	0.148837
benchmark/ssb/benchmarks/sf10/q4.1-t8.benchmark	3	0.147776
